name,type,temperature,humidity,precip,soil
Ornamental Asparagus,Succulent Shrub,['Moderate'],"['Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam', 'Saline']"
Asphodel,Herbaceous perennial,['Very Low'],"['Very Low', 'Low']","['Low', 'Moderate']","['Sandy', 'Calcareous']"
Shrubby Orache,Shrub,['Moderate'],"['Very Low', 'Low']","['Low', 'Moderate']","['Sandy', 'Saline']"
Saltbush,Succulent Shrub,['Low'],"['Very Low', 'Low', 'Moderate']","['Low', 'Moderate']","['Saline', 'Clay-Loam', 'Silt-Loam']"
Neem Tree,Tree,['High'],"['Low', 'Moderate', 'High']","['Moderate', 'High']","['Sandy', 'Clay-Loam']"
Burning Bush,Herbaceous perennial,['Moderate'],"['Low', 'Moderate']",['High'],"['Sandy', 'Saline', 'Clay-Loam']"
Butterfly Tree,Tree,['Moderate'],"['Low', 'High']","['Moderate', 'High']",['Sandy']
Eyelash Plant,Herbaceous perennial,['Moderate'],"['Very Low', 'Low', 'Moderate']","['Low', 'Moderate']","['Sandy', 'Calcareous']"
Red Silk Cotton,Tree,['Moderate'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam']"
Bougainvillea,Shrub,['Moderate'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam']"
Bougainvillea,Shrub,['Moderate'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam']"
Australian Flame Tree,Tree,['Moderate'],"['Low', 'Moderate']",['Moderate'],"['Sandy', 'Clay-Loam']"
Bottle Tree,Tree,['Low'],"['Very Low', 'Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Calcareous', 'Clay-Loam']"
Snow Bush,Shrub,['Moderate'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam']"
Yellow Bird-of-Paradise Shrub,Shrub,['Low'],"['Low', 'Moderate']",['High'],['Sandy']
Pride of Barbados,Shrub,['Low'],"['Low', 'Moderate', 'High']",['High'],['Sandy']
Marigold,Herbaceous perennial,['Moderate'],"['Very Low', 'Low', 'Moderate', 'High', 'Extreme']",['Moderate'],"['Sandy', 'Clay-Loam']"
Calligonum,Shrub,['Moderate'],"['Very Low', 'Low']","['Low', 'Moderate']","['Sandy', 'Calcareous']"
Bottle Brush,Shrub,['Moderate'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam']"
Weeping Bottlebrush,Tree,['Moderate'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam']"
Felt Plant,Shrub,['Moderate'],"['Very Low', 'Low', 'Moderate', 'Low']","['Low', 'Moderate']","['Sandy', 'Silt-Loam']"
Cape Jasmine,Shrub,['Low'],"['Moderate', 'High', 'Extreme']",['High'],"['Sandy', 'Clay-Loam']"
Treasure Flower,Herbaceous perennial,['Low'],"['Very Low', 'Low', 'Moderate']",['Moderate'],['Sandy']
Trailing Gazania,Herbaceous perennial,['Very Low'],"['Low', 'Moderate']",['Moderate'],['Sandy']
Trailing Gazania,Herbaceous perennial,['Low'],"['Very Low', 'Low', 'Moderate', 'High']",['Moderate'],['Sandy']
Grevillea,Tree,['Low'],"['Low', 'Moderate']",['Moderate'],"['Sandy', 'Clay-Loam']"
Saxaul,Shrub,['Low'],"['Very Low', 'Low', 'Moderate']",['Low'],"['Sandy', 'Calcareous']"
Heliotrope,Succulent Shrub,['Low'],"['Very Low', 'Low', 'Moderate']","['Low', 'Moderate']","['Sandy', 'Calcareous']"
Chinese Hibiscus,Shrub,['Moderate'],"['Moderate', 'High']",['High'],"['Sandy', 'Clay-Loam']"
Seacoast Mallow,Tree,['Moderate'],"['Moderate', 'High', 'Extreme']","['Moderate', 'High']","['Sandy', 'Saline', 'Clay-Loam']"
Sweet Potato,Elegant Plant,['Moderate'],"['Moderate', 'High', 'Extreme']",['Moderate'],"['Sandy', 'Clay-Loam']"
Mile-a-Minute Vine,Elegant Plant,['Moderate'],"['Moderate', 'High', 'Extreme']",['Moderate'],"['Sandy', 'Clay-Loam']"
Beach Morning Glory,Herbaceous perennial,['Moderate'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Calcareous']"
Bloodleaf,Herbaceous perennial,['Moderate'],"['Low', 'Moderate', 'High']",['High'],"['Sandy', 'Clay-Loam']"
Flame of the Woods,Shrub,['Moderate'],"['Moderate', 'High', 'Extreme']",['Moderate'],"['Sandy', 'Clay-Loam']"
Jungle Flame,Shrub,['Moderate'],"['Moderate', 'High', 'Extreme']",['Moderate'],"['Sandy', 'Clay-Loam']"
Mimosa-Leaved Ebony,Tree,['Moderate'],"['Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam']"
Jacquemontia,Elegant Plant,"['Moderate', 'High']","['Moderate', 'High']",['Moderate'],['Sandy']
Poet's Jasmine,Elegant Plant,['Very Low'],"['Low', 'Moderate', 'High']",['High'],"['Sandy', 'Clay-Loam']"
Pink Jasmine,Elegant Plant,['Low'],"['Low', 'Moderate', 'High']",['High'],"['Sandy', 'Clay-Loam']"
Arabian Jasmine,Shrub,['Moderate'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam']"
Peregrina,Shrub,['Moderate'],"['Low', 'Moderate', 'High']",['Moderate'],['Sandy']
Sea Rush,Herbaceous perennial,['Moderate'],"['Moderate', 'High', 'Extreme']",['High'],"['Saline', 'Clay-Loam', 'Silt-Loam']"
Flaming Katy,Succulent Plant,['Moderate'],"['Low', 'Moderate']",['Low'],['Sandy']
Devil's Backbone,Succulent Plant,['Moderate'],"['Very Low', 'Low', 'Moderate', 'Low']",['Low'],['Sandy']
Crape Myrtle,Tree,['Very Low'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam']"
Cow-Itch Tree,Tree,['Low'],"['Moderate', 'High', 'Extreme']",['Moderate'],"['Sandy', 'Saline', 'Clay-Loam']"
Orange Ice Plant,Succulent Shrub,['Moderate'],"['Very Low', 'Low', 'Moderate', 'High']",['Low'],"['Sandy', 'Calcareous']"
Yellow Vygie,Succulent Shrub,['Very Low'],"['Low', 'Moderate', 'High']",['Low'],"['Sandy', 'Calcareous']"
Shrub Verbena,Shrub,['Moderate'],"['Low', 'Moderate', 'High', 'Extreme']",['Moderate'],['Sandy']
Trailing Lantana,Shrub,"['Moderate', 'High']","['Low', 'Moderate', 'High', 'Extreme']",['High'],['Sandy']
Indian Beech,Tree,['Moderate'],"['Low', 'Moderate', 'High']",['High'],"['Sandy', 'Clay-Loam']"
Moricandia,Herbaceous perennial,['Low'],"['Very Low', 'Low', 'Moderate']","['Low', 'Moderate']","['Silt-Loam', 'Calcareous']"
Horseradish tree,Tree,['Moderate'],"['Low', 'Moderate', 'High']",['Moderate'],['Sandy']
Black Mulberry,Tree,['Very Low'],"['Low', 'Moderate', 'High']",['Moderate'],"['Calcareous', 'Clay-Loam']"
Satinwood,Shrub,['Moderate'],"['Moderate', 'High', 'Extreme']",['Moderate'],"['Sandy', 'Clay-Loam']"
Sweet Banana,Herbaceous perennial,['Moderate'],"['High', 'Extreme']",['High'],"['Sandy', 'Clay-Loam']"
Dwarf Cavendish,Herbaceous perennial,['Moderate'],"['High', 'Extreme']",['High'],"['Sandy', 'Clay-Loam']"
Greek Myrtle,Shrub,['Low'],"['Low', 'Moderate', 'High']",['High'],"['Sandy', 'Calcareous']"
Sacred Indian Lotus,Elegant Plant,['Moderate'],"['Moderate', 'High', 'Extreme']",['High'],"['Sandy', 'Clay-Loam']"
Oleander,Shrub,['Low'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam', 'Saline']"
Cape Blue Water Lily,Elegant Plant,['High'],"['Moderate', 'High', 'Extreme']",['High'],"['Sandy', 'Clay-Loam']"
Cape Blue Water Lily,Elegant Plant,['High'],"['Moderate', 'High', 'Extreme']",['High'],"['Sandy', 'Clay-Loam']"
Taily Weed,Shrub,['Low'],"['Very Low', 'Low']","['Low', 'Moderate']","['Sandy', 'Calcareous', 'Silt-Loam']"
Mock Orange,Shrub,['Very Low'],"['Moderate', 'High', 'Extreme']",['Moderate'],"['Sandy', 'Clay-Loam']"
Painted Nettle,Herbaceous perennial,['Moderate'],"['High', 'Extreme']",['High'],"['Sandy', 'Clay-Loam']"
Cape Leadwort,Elegant Plant,['Very Low'],"['Moderate', 'High']",['Moderate'],['Sandy']
Temple Tree,Tree,['Moderate'],"['Low', 'Moderate', 'High']",['High'],['Sandy']
Frangipani,Tree,['Moderate'],"['Low', 'Moderate', 'High']",['High'],['Sandy']
Pickerelweed,Herbaceous perennial,['Very Low'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam']"
Rose moss,Herbaceous perennial,['Moderate'],"['Very Low', 'Low', 'Moderate', 'Low']",['Low'],"['Sandy', 'Calcareous']"
Wingpod Purslane,Herbaceous perennial,['High'],"['Low', 'Moderate', 'High']",['Low'],"['Sandy', 'Calcareous']"
Porkbush,Succulent Shrub,['Moderate'],"['Very Low', 'Low', 'Moderate']",['Low'],"['Sandy', 'Calcareous']"
Argentine Mesquite,Tree,['Low'],"['Very Low', 'Low', 'Moderate', 'Low', 'High']",['Low'],"['Sandy', 'Saline', 'Clay-Loam']"
Chilean Mesquite,Tree,['Very Low'],"['Very Low', 'Low', 'Moderate', 'Low', 'High']",['Low'],"['Sandy', 'Saline']"
Syrian Mesquite,Shrub,['Low'],"['Very Low', 'Low', 'Moderate', 'Low', 'High']","['Low', 'Moderate']","['Sandy', 'Saline']"
Arizona Mesquite,Tree,['Very Low'],"['Very Low', 'Low', 'Moderate', 'Low', 'High']",['Low'],"['Sandy', 'Saline']"
Purple False Eranthemum,Shrub,['Moderate'],"['Low', 'Moderate', 'High', 'Extreme']",['High'],"['Sandy', 'Clay-Loam']"
Guava,Tree,['Moderate'],"['Moderate', 'High']",['High'],"['Sandy', 'Clay-Loam']"
Fleawort,Succulent Shrub,['Low'],"['Very Low', 'Low']","['Low', 'Moderate']","['Sandy', 'Calcareous']"
Pomegranate,Tree,['Very Low'],"['Low', 'Moderate', 'High']",['Moderate'],['Sandy']
Flame Vine,Elegant Plant,['Moderate'],"['Moderate', 'High', 'Extreme']",['High'],"['Sandy', 'Clay-Loam']"
Rangoon Creeper,Elegant Plant,['Moderate'],"['Moderate', 'High', 'Extreme']",['Moderate'],['Sandy']
California Pepper Tree,Tree,['Low'],"['High', 'Extreme']",['High'],"['Sandy', 'Calcareous', 'Clay-Loam']"
Brazilian Pepper Tree,Tree,['Moderate'],"['High', 'Extreme']",['High'],"['Sandy', 'Clay-Loam']"
Willow Karee,Tree,['Low'],"['Low', 'Moderate', 'High', 'Extreme']",['Moderate'],"['Sandy', 'Clay-Loam']"
Shrubby Daisybush,Herbaceous perennial,['Moderate'],"['Very Low', 'Low', 'Moderate', 'High', 'Extreme']",['Moderate'],['Sandy']
Screw Pine,Elegant Plant,['Moderate'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam', 'Saline']"
Jerusalem Thorn,Tree,['Low'],"['Low', 'Moderate', 'High']",['Low'],"['Sandy', 'Calcareous']"
Bahia Grass,Herbaceous perennial,['Low'],"['Low', 'Moderate', 'High']",['High'],"['Sandy', 'Clay-Loam']"
Umbrella Plant,Herbaceous perennial,['Low'],"['Moderate', 'High']",['High'],"['Sandy', 'Clay-Loam']"
Reed,Herbaceous perennial,['Very Low'],"['Low', 'Moderate']",['High'],"['Sandy', 'Clay-Loam', 'Saline']"
Aleppo Pine,Tree,['Very Low'],"['Low', 'Moderate']",['Low'],"['Sandy', 'Calcareous']"
Madras Thorn,Tree,['Moderate'],"['Low', 'Moderate']",['Moderate'],['Sandy']
Mock Orange,Shrub,['Very Low'],"['Moderate', 'High', 'Extreme']",['Moderate'],"['Sandy', 'Clay-Loam']"
Painted Nettle,Herbaceous perennial,['Moderate'],"['High', 'Extreme']",['High'],"['Sandy', 'Clay-Loam']"
Cape Leadwort,Elegant Plant,['Very Low'],"['Moderate', 'High']",['Moderate'],['Sandy']
Singapore Plumeria,Tree,['Moderate'],"['Low', 'Moderate', 'High']",['High'],['Sandy']
Frangipani,Tree,['Moderate'],"['Low', 'Moderate', 'High']",['High'],['Sandy']
Pickerelweed,Herbaceous perennial,['Very Low'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam']"
Rose moss,Herbaceous perennial,['Moderate'],"['Very Low', 'Low', 'Moderate', 'Low']",['Low'],"['Sandy', 'Calcareous']"
Wingpod Purslane,Herbaceous perennial,['High'],"['Low', 'Moderate', 'High']",['Low'],"['Sandy', 'Calcareous']"
Porkbush,Succulent Shrub,['Moderate'],"['Very Low', 'Low', 'Moderate']",['Low'],"['Sandy', 'Calcareous']"
Argentine Mesquite,Tree,['Low'],"['Very Low', 'Low', 'Moderate', 'Low', 'High']",['Low'],"['Sandy', 'Saline', 'Clay-Loam']"
Chilean Mesquite,Tree,['Very Low'],"['Very Low', 'Low', 'Moderate', 'Low', 'High']",['Low'],"['Sandy', 'Saline']"
Syrian Mesquite,Shrub,['Low'],"['Very Low', 'Low', 'Moderate', 'Low', 'High']","['Low', 'Moderate']","['Sandy', 'Saline']"
Arizona Mesquite,Tree,['Very Low'],"['Very Low', 'Low', 'Moderate', 'Low', 'High']",['Low'],"['Sandy', 'Saline']"
Purple False Eranthemum,Shrub,['Moderate'],"['Low', 'Moderate', 'High', 'Extreme']",['High'],"['Sandy', 'Clay-Loam']"
Guava,Tree,['Moderate'],"['Moderate', 'High']",['High'],"['Sandy', 'Clay-Loam']"
Fleawort,Succulent Shrub,['Low'],"['Very Low', 'Low']","['Low', 'Moderate']","['Sandy', 'Calcareous']"
Pomegranate,Tree,['Very Low'],"['Low', 'Moderate', 'High']",['Moderate'],['Sandy']
Flame Vine,Elegant Plant,['Moderate'],"['Moderate', 'High', 'Extreme']",['High'],"['Sandy', 'Clay-Loam']"
Rangoon Creeper,Elegant Plant,['Moderate'],"['Moderate', 'High', 'Extreme']",['Moderate'],['Sandy']
California Pepper Tree,Tree,['Low'],"['High', 'Extreme']",['High'],"['Sandy', 'Calcareous', 'Clay-Loam']"
Brazilian Pepper Tree,Tree,['Moderate'],"['High', 'Extreme']",['High'],"['Sandy', 'Clay-Loam']"
Willow Karee,Tree,['Low'],"['Low', 'Moderate', 'High', 'Extreme']",['Moderate'],"['Sandy', 'Clay-Loam']"
Shrubby Daisybush,Herbaceous perennial,['Moderate'],"['Very Low', 'Low', 'Moderate', 'High', 'Extreme']",['Moderate'],['Sandy']
Screw Pine,Elegant Plant,['Moderate'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam', 'Saline']"
Jerusalem Thorn,Tree,['Low'],"['Low', 'Moderate', 'High']",['Low'],"['Sandy', 'Calcareous']"
Bahia Grass,Herbaceous perennial,['Low'],"['Low', 'Moderate', 'High']",['High'],"['Sandy', 'Clay-Loam']"
Umbrella Plant,Herbaceous perennial,['Low'],"['Moderate', 'High']",['High'],"['Sandy', 'Clay-Loam']"
Reed,Herbaceous perennial,['Very Low'],"['Low', 'Moderate']",['High'],"['Sandy', 'Clay-Loam', 'Saline']"
Aleppo Pine,Tree,['Very Low'],"['Low', 'Moderate']",['Low'],"['Sandy', 'Calcareous']"
